name,url,standard,address,id,result(total),result(error),result(warning),result(notice)
BALDOCK SURGERY,http://www.baldocksurgery.co.uk,WCAG2AAA,SG7 6BP,5d290b42edf8287f0f23bab1,499,7,230,262
Milton Keynes Village Surgery,http://www.mkvillagepractice.co.uk,WCAG2AAA,MK10 9BQ,5d290b42edf8287f0f23bab2,327,71,56,200
Denton Village Surgery,http://www.dentonvillagesurgery.nhs.uk,WCAG2AAA,NN7 1HT,5d290b42edf8287f0f23bab3,402,170,39,193
Old Exchange Surgery,http://www.theoldexchangesurgery.co.uk,WCAG2AAA,PE27 5PB,5d290b42edf8287f0f23bab4,245,106,21,118
Cromwell Place Surgery,http://www.cromwellplacesurgery.nhs.uk/,WCAG2AAA,PE27 5JD,5d290b42edf8287f0f23bab5,376,167,16,193
Earls Barton Medical Centre,http://www.4mygp.info,WCAG2AAA,NN6 0EU,5d290b42edf8287f0f23bab6,274,94,34,146
Regal Chambers Surgery,http://www.regalchambers.co.uk,WCAG2AAA,SG5 1LL,5d290b42edf8287f0f23bab7,500,11,230,259
Bancroft Medical Centre - Courtenay House,https://bancroftmedicalcentre.co.uk,WCAG2AAA,SG5 1LH,5d290b42edf8287f0f23bab8,481,7,220,254
Bancroft Medical Centre - Orford Lodge,https://bancroftmedicalcentre.co.uk/,WCAG2AAA,SG5 1ND,5d290b42edf8287f0f23bab9,485,7,222,256
Spinney Surgery,http://www.spinney-surgery.org.uk,WCAG2AAA,PE27 3TP,5d290b42edf8287f0f23baba,864,294,97,473
Walnut Tree Health Centre,http://www.walnuttreehealthcentre.co.uk/,WCAG2AAA,MK7 7PB,5d290b42edf8287f0f23babb,260,13,115,132
Dr Spencer And Partners,http://www.burtonlatimermedicalcentre.co.uk/,WCAG2AAA,NN15 5PU,5d290b42edf8287f0f23babc,514,28,152,334
"Orchard Surgery, St Ives",http://www.orchardsurgery-stives.nhs.uk/,WCAG2AAA,PE27 3ER,5d290b42edf8287f0f23babd,197,6,84,107
Neath Hill Health Centre,http://www.neathhillhealthcentre.co.uk,WCAG2AAA,MK14 6JY,5d290b42edf8287f0f23babe,180,7,57,116
Swavesey Surgery,"http://www.swaveseysurgery.nhs.uk/welcome,47288.htm",WCAG2AAA,CB24 4RA,5d290b42edf8287f0f23babf,716,256,57,403
Maple Surgery,http://www.mhmaple.co.uk,WCAG2AAA,CB23 8EH,5d290b42edf8287f0f23bac0,204,45,42,117
The Health Centre Practice,http://www.roystonhealthcentre.co.uk,WCAG2AAA,SG8 7BS,5d290b42edf8287f0f23bac1,197,8,71,118
"Granta Medical Practices, Market Hill Surgery",http://www.grantamedicalpractices.co.uk,WCAG2AAA,SG8 9JN,5d290b42edf8287f0f23bac2,184,52,31,101
Oakridge Park Medical Centre,http://www.oakridgeparkmedical.nhs.uk,WCAG2AAA,MK14 6GL,5d290b42edf8287f0f23bac3,511,99,296,116
Fishermead Medical Centre,https://www.fishermeadmedicalcentre.co.uk,WCAG2AAA,MK6 2LR,5d290b42edf8287f0f23bac4,512,62,328,122
Barton Hills Medical Group,http://www.bhmg.gpsurgery.net,WCAG2AAA,LU3 4AD,5d290b42edf8287f0f23bac5,622,277,25,320
Purbeck Health Centre,http://www.purbeckhealthcentre.co.uk,WCAG2AAA,MK14 6BL,5d290b42edf8287f0f23bac6,236,36,87,113
The Grove Surgery,http://www.thegrovesurgery-netherfield.co.uk/,WCAG2AAA,MK6 4NG,5d290b42edf8287f0f23bac7,271,13,135,123
Bramingham Park Medical Centre ,http://www.braminghamparkmedicalcentre.com,WCAG2AAA,LU3 4BG,5d290b42edf8287f0f23bac8,330,144,38,148
Gardenia & Marsh Farm Practice,http://www.gardeniasurgery.nhs.uk,WCAG2AAA,LU3 3SR,5d290b42edf8287f0f23bac9,653,10,306,337
Dr Cassidy And Partners,http://www.ashfieldmc.co.uk,WCAG2AAA,MK6 4NE,5d290b42edf8287f0f23baca,222,42,57,123
Dr SP Hughes and Partners,http://www.bartongroupsurgeries.co.uk/,WCAG2AAA,LU3 2LB,5d290b42edf8287f0f23bacb,392,22,158,212
Orchard Surgery,http://www.orchardsurgery.co.uk,WCAG2AAA,ST6 8HY,5d290b42edf8287f0f23bacc,265,66,52,147
Sundon Medical Centre,http://www.sundonmedicalcentre.nhs.uk/,WCAG2AAA,LU3 3AH,5d290b42edf8287f0f23bacd,636,8,303,325
Central Milton Keynes Medical Centre,http://www.cmkmc.co.uk/,WCAG2AAA,MK13 8RN,5d290b42edf8287f0f23bace,307,79,79,149
Over Surgery,http://www.oversurgery.nhs.uk,WCAG2AAA,CB24 5NZ,5d290b42edf8287f0f23bacf,714,253,62,399
Dr Sajid Mehmood,http://www.nevilleroadsurgery.co.uk,WCAG2AAA,LU3 2JG,5d290b42edf8287f0f23bad0,695,12,344,339
Hanslope Surgery,http://www.theparksmedicalpractice.co.uk,WCAG2AAA,MK19 7LA,5d290b42edf8287f0f23bad1,224,60,43,121
Bedford Street Surgery,http://www.bedfordstreetsurgery.co.uk,WCAG2AAA,MK2 2TX,5d290b42edf8287f0f23bad2,227,26,74,127
Dr Robinson And Partner,http://www.westfieldroadsurgery.co.uk/,WCAG2AAA,MK2 2DJ,5d290b42edf8287f0f23bad3,194,54,37,103
Stopsley Village Practice,http://www.stopsleyvillagepractice.co.uk/,WCAG2AAA,LU2 9AU,5d290b42edf8287f0f23bad4,675,8,323,344
Ise Village Medical Centre,http://www.lindenmedical.co.uk/,WCAG2AAA,NN15 5FB,5d290b42edf8287f0f23bad5,337,57,126,154
Mayfield Surgery,http://www.mayfieldsurgery.nhs.uk,WCAG2AAA,ST3 4DW,5d290b42edf8287f0f23bad6,137,22,26,89
Favell Plus Surgery,http://www.westonfavellsurgery.nhs.uk,WCAG2AAA,NN3 8DW,5d290b42edf8287f0f23bad7,224,15,88,121
Weston Favell Health Ctr,http://mollakesani.co.uk,WCAG2AAA,NN3 8DW,5d290b42edf8287f0f23bad8,2,2,0,0
Leagrave Surgery ,http://www.leagravesurgery.co.uk,WCAG2AAA,LU4 9QZ,5d290b42edf8287f0f23bad9,663,6,322,335
Moat House Surgery,http://www.themoathousesurgery.co.uk,WCAG2AAA,RH1 3PN,5d290b42edf8287f0f23bada,213,51,53,109
Longstanton Branch Surgery,http://www.willinghammedicalpractice.nhs.uk,WCAG2AAA,CB24 3EG,5d290b42edf8287f0f23badb,239,14,96,129
Wheatfield Surgery,http://www.wheatfieldsurgery.co.uk,WCAG2AAA,LU4 0TR,5d290b42edf8287f0f23badc,242,62,45,135
Parkside Medical Centre,http://www.parksidemedical.org.uk/,WCAG2AAA,M12 5RU,5d290b42edf8287f0f23badd,528,13,227,288
Canterbury Way Surgery,http://www.canterburywaysurgery.co.uk/,WCAG2AAA,SG1 4LQ,5d290b42edf8287f0f23bade
Dr Jk Marsden's Practice,https://www.woodlandavenuepractice.nhs.uk/,WCAG2AAA,LU3 1RW,5d290b42edf8287f0f23badf,646,9,344,293
Woodview Medical Centre,http://www.woodviewmedicalcentre.co.uk,WCAG2AAA,NN3 8AW,5d290b42edf8287f0f23bae0,284,66,85,133
Water Eaton Health Centre,http://www.watereatonhealthcentre.nhs.uk,WCAG2AAA,MK2 3HN,5d290b42edf8287f0f23bae1,262,23,125,114
Larkside Practice,https://larksidepractice.co.uk/,WCAG2AAA,LU2 9SB,5d290b42edf8287f0f23bae2,654,11,307,336
Linden Avenue Medical Centre,http://www.lindenmedical.co.uk/,WCAG2AAA,NN15 7NX,5d290b42edf8287f0f23bae3,337,57,126,154
Britannia House Surgery,http://www.drmirzaandpartners.co.uk,WCAG2AAA,LU3 1RJ,5d290b42edf8287f0f23bae4,688,7,329,352
Furzton Medical Centre,http://www.bedfordstreetsurgery.co.uk,WCAG2AAA,MK4 1EW,5d290b42edf8287f0f23bae5,227,26,74,127
Lister House Surgery,http://www.listerhouse.nhs.uk/,WCAG2AAA,AL10 0NL,5d290b42edf8287f0f23bae6,281,61,82,138
Girton Branch Surgery,http://www.huntingdonroadsurgery.co.uk/,WCAG2AAA,CB3 0PA,5d290b42edf8287f0f23bae7,353,129,80,144
Headlands Surgery,https://headlandssurgery.co.uk/,WCAG2AAA,NN15 7HP,5d290b42edf8287f0f23bae8
Kingsway Health Centre,http://www.kingswayhealthcentre.nhs.uk,WCAG2AAA,LU4 8BY,5d290b42edf8287f0f23bae9,304,130,39,135
Whaddon House Surgery,http://www.whaddonmedicalcentre.co.uk,WCAG2AAA,MK3 7QU,5d290b42edf8287f0f23baea,369,118,116,135
Dr K Prasad's Practice,http://www.conwaymedicalcentre.nhs.uk,WCAG2AAA,LU4 8JD,5d290b42edf8287f0f23baeb,681,9,324,348
King George Surgery,http://www.kinggeorgesurgery.co.uk,WCAG2AAA,SG1 3HT,5d290b42edf8287f0f23baec,822,260,81,481
King Edward Road Surgery,http://www.kers.org.uk/index.aspx,WCAG2AAA,NN1 5LY,5d290b42edf8287f0f23baed,487,15,327,145
Wenlock Surgery,https://www.wenlocksurgery.co.uk,WCAG2AAA,LU2 0NN,5d290b42edf8287f0f23baee
Bluntisham Branch Surgery,http://www.chirchstreethealthcentre-somersham.nhs.uk,WCAG2AAA,PE28 3LR,5d290b42edf8287f0f23baef
Abington Park Surgery,http://www.abingtonparksurgery.com,WCAG2AAA,NN1 5LT,5d290b42edf8287f0f23baf0,240,14,81,145
Bell House Medical Centre,http://www.bellhousedoctor.co.uk,WCAG2AAA,LU1 1BW,5d290b42edf8287f0f23baf1,106,36,23,47
Chells Surgery,http://www.chellssurgery.co.uk/,WCAG2AAA,SG2 0HN,5d290b42edf8287f0f23baf2,235,11,84,140
Dryland Surgery,https://drylandsurgery.co.uk/,WCAG2AAA,NN16 8JZ,5d290b42edf8287f0f23baf3,120,36,32,52
Moulton Surgery,http://www.moultonsurgery.co.uk,WCAG2AAA,NN1 5PH,5d290b42edf8287f0f23baf4,374,63,119,192
Manor House Surgery,http://www.manorhouse-surgery.org.uk,WCAG2AAA,SG2 7QX,5d290b42edf8287f0f23baf5,335,118,90,127
Eskdaill Medical Centre,http://www.eskdaillmedical.co.uk,WCAG2AAA,NN16 8DN,5d290b42edf8287f0f23baf6,146,28,37,81
Weavers Medical,http://www.weaversmedical.co.uk,WCAG2AAA,NN16 8DN,5d290b42edf8287f0f23baf7,539,29,231,279
Bute House Medical Centre,http://www.butehousemedicalcentre.co.uk,WCAG2AAA,LU1 1RW,5d290b42edf8287f0f23baf8,726,32,336,358
Willingham Medical Practice,http://www.willinghammedicalpractice.nhs.uk,WCAG2AAA,CB24 5LB,5d290b42edf8287f0f23baf9,239,14,96,129
Park Avenue Medical Centre,http://www.parkavenuemedicalcentre.co.uk/,WCAG2AAA,NN3 2HZ,5d290b42edf8287f0f23bafa,286,121,36,129
"Granta Medical Practices, Barley Surgery",http://www.grantamedicalpractices.co.uk,WCAG2AAA,SG8 8HY,5d290b42edf8287f0f23bafb,184,52,31,101
Lakeside Healthcare,http://www.thelakesidesurgery.co.uk,WCAG2AAA,NN17 2UR,5d290b42edf8287f0f23bafc,202,39,19,144
Grange Park Surgery,http://www.theparksmedicalpractice.co.uk,WCAG2AAA,NN4 5DW,5d290b42edf8287f0f23bafd,224,60,43,121
Dr Moore & Partners,http://www.woottonmedicalcentre.co.uk,WCAG2AAA,NN4 6LW,5d290b42edf8287f0f23bafe,300,13,125,162
Lakeside Surgery,http://www.larwoodhealthpartnership.co.uk/,WCAG2AAA,S81 9NW,5d290b42edf8287f0f23baff,328,32,34,262
The Crescent Medical Centre,http://www.thecrescentmedicalcentre.nhs.uk,WCAG2AAA,NN1 4SB,5d290b42edf8287f0f23bb00,202,18,64,120
Town Centre GP Surgery,https://www.towncentresurgeryluton.nhs.uk/index.aspx,WCAG2AAA,LU1 2SE,5d290b42edf8287f0f23bb01,83,7,21,55
Westcroft Health Centre,http://www.westcrofthealthcentre.com,WCAG2AAA,MK4 4EN,5d290b42edf8287f0f23bb02,465,17,314,134
Bedwell Medical Centre,http://www.bedwellandroebucksurgery.com/,WCAG2AAA,SG1 1LQ,5d290b42edf8287f0f23bb03,247,21,96,130
Newnham Walk Surgery,http://www.newnhamwalksurgery.nhs.uk/,WCAG2AAA,CB3 9HS,5d290b42edf8287f0f23bb04,222,10,95,117
Kingsbury Court Surgery,http://www.kingsburycourtsurgery.nhs.uk,WCAG2AAA,LU5 4RS,5d290b42edf8287f0f23bb05,231,21,111,99
Huntingdon Road Surgery,http://www.huntingdonroadsurgery.co.uk/,WCAG2AAA,CB3 0DB,5d290b42edf8287f0f23bb06,362,130,84,148
Church Street Health Centre,http://www.churchstreethealthcentre-somersham.nhs.uk,WCAG2AAA,PE28 3EG,5d290b42edf8287f0f23bb07,250,9,111,130
Castle Street Surgery,http://www.castlestreetsurgeryluton.co.uk/,WCAG2AAA,LU1 3AG,5d290b42edf8287f0f23bb08,237,38,88,111
Walkern Branch Surgery,http://www.kinggeorgesurgery.co.uk,WCAG2AAA,SG2 7PG,5d290b42edf8287f0f23bb09,822,260,81,481
Priory Gardens Surgery,https://www.priorygardenssurgery.co.uk,WCAG2AAA,LU6 3SU,5d290b42edf8287f0f23bb0a,258,21,93,144
The Medici Medical Practice,http://www.medicipractice.co.uk,WCAG2AAA,LU1 3UA,5d290b42edf8287f0f23bb0b,315,8,113,194
Earith Branch (Somersham),http://www.churchstreethealthcentre-somersham.nhs.uk,WCAG2AAA,PE28 3PU,5d290b42edf8287f0f23bb0c,250,9,111,130
West Street Surgery,http://www.weststreetsurgery.org.uk/,WCAG2AAA,LU6 1SF,5d290b42edf8287f0f23bb0d,262,47,73,142
Dr T Crawford & Partners,http://www.greenviewsurgery.co.uk,WCAG2AAA,NN2 7PB,5d290b42edf8287f0f23bb0e,187,43,27,117
Trumpington Street Medical Practice,http://www.trumpingtonstreetmedicalpractice.co.uk/,WCAG2AAA,CB2 1RG,5d290b42edf8287f0f23bb0f,622,29,359,234
"Firs House Surgery, Firs House Partnership",http://www.firshouse.com,WCAG2AAA,CB24 9NP,5d290b42edf8287f0f23bb10,336,41,171,124
Maple Access Partnership,http://www.mapleaccess.org.uk,WCAG2AAA,NN1 1LG,5d290b42edf8287f0f23bb11,340,8,120,212
Stony Medical Centre,http://www.stonymedicalcentre.co.uk,WCAG2AAA,MK11 1YA,5d290b42edf8287f0f23bb12,201,8,82,111
Bridge Street Medical Centre,http://www.bridgestreetmedicalcentre.com,WCAG2AAA,CB2 3LS,5d290b42edf8287f0f23bb13,111,18,14,79
Roade Surgery,http://www.theparksmedicalpractice.co.uk,WCAG2AAA,NN7 2NN,5d290b42edf8287f0f23bb14,224,60,43,121
Newnham Walk Surgery At Boots Cambridge,http://www.newnhamwalksurgery.nhs.uk/,WCAG2AAA,CB2 3ND,5d290b42edf8287f0f23bb15,222,10,95,117
Dr Jl Henderson & Partners,https://www.bassettroadsurgery.co.uk,WCAG2AAA,LU7 1AR,5d290b42edf8287f0f23bb16,461,27,187,247
Salisbury House Surgery,http://www.salisburyhousesurgery.co.uk,WCAG2AAA,LU7 1RS,5d290b42edf8287f0f23bb17,436,29,176,231
Ramsey Health Centre,http://www.ramseyhealthcentre.co.uk,WCAG2AAA,PE26 1BP,5d290b42edf8287f0f23bb18,389,65,99,225
Woodlands Surgery At Eden House,http://www.woodlandssurgery.co.uk,WCAG2AAA,CB2 1LR,5d290b42edf8287f0f23bb19,143,36,20,87
The Mounts Medical Centre,http://www.themountsmedicalcentre.nhs.uk/,WCAG2AAA,NN1 3DS,5d290b42edf8287f0f23bb1a,198,14,78,106
Eleanor Cross Healthcare,https://www.eleanorcrosshealthcare.co.uk,WCAG2AAA,NN4 8QF,5d290b42edf8287f0f23bb1b,528,15,264,249
Kingsthorpe Medical Centre,http://kingsthorpemedicalcentre.com/,WCAG2AAA,NN2 7JN,5d290b42edf8287f0f23bb1c,82,25,2,55
Leighton Road Surgery,http://www.leightonroadsurgery.co.uk,WCAG2AAA,LU7 1LB,5d290b42edf8287f0f23bb1d,418,15,169,234
Langham Place Surgery,http://www.langhamplacesurgery.co.uk,WCAG2AAA,NN2 6AA,5d290b42edf8287f0f23bb1e,381,31,127,223
Leicester Terrace Health Care Centre,http://www.leicesterterrace.co.uk,WCAG2AAA,NN2 6AL,5d290b42edf8287f0f23bb1f,200,42,42,116
Rainbow Surgery,http://www.rainbowsurgery.co.uk,WCAG2AAA,PE26 1SA,5d290b42edf8287f0f23bb20,297,106,33,158
Red House Surgery,http://www.redhousesurgery.nhs.uk/,WCAG2AAA,CB4 1ER,5d290b42edf8287f0f23bb21,156,21,51,84
Arbury Road Surgery,http://www.arburyroadsurgery.nhs.uk,WCAG2AAA,CB4 2JG,5d290b42edf8287f0f23bb22,167,50,21,96
The Petersfield Medical Practice,http://www.petersfieldmedicalpractice.co.uk,WCAG2AAA,CB1 2AB,5d290b42edf8287f0f23bb23,216,5,86,125
Queensview Medical Centre,http://https://www..queensviewmedicalcentre.co.uk,WCAG2AAA,NN2 6LS,5d290b42edf8287f0f23bb24,2,2,0,0
Shephall Health Centre,http://www.shephallwaysurgery.co.uk,WCAG2AAA,SG2 9QZ,5d290b42edf8287f0f23bb25,199,62,20,117
