name,url,standard,address,task,result(total),result(error),result(warning),result(notice)
Brookside Medical Centre,http://www.wollastonbozeatsurgery.co.uk/,WCAG2AA,NN29 7NJ,5d06a9b2e0673f62602f4ed2,334,11,125,198
Papworth Surgery,http://www.papworthsurgery.co.uk/,WCAG2AA,CB23 3QQ,5d06a9b2e0673f62602f4ed3,395,183,22,190
Godmanchester,http://www.romangatesurgery.nhs.uk,WCAG2AA,PE29 2JH,5d06a9b2e0673f62602f4ed4,214,12,69,133
The Cottons Medical Centre,http://www.thecottonsmedicalcentre.co.uk,WCAG2AA,NN9 6UA,5d06a9b2e0673f62602f4ed5,255,8,98,149
Sunnyhill Healthcare C.I.C,http://arleseymedicalcentre.nhs.uk,WCAG2AA,SG15 6SN,5d06a9b2e0673f62602f4ed6
Flitwick Surgery,http://www.flitwicksurgery.co.uk/,WCAG2AA,MK45 1DW,5d06a9b2e0673f62602f4ed7,378,26,140,212
Larksfield Surgery Medical Partnership,http://www.larksfieldsurgery.gpsurgery.net/webdesk/netblast/pages/index.html,WCAG2AA,SG5 4HB,5d06a9b2e0673f62602f4ed8,329,141,4,184
The Hicks Group Practice,http://www.charleshicksmedicalcentre.nhs.uk/,WCAG2AA,PE29 3EZ,5d06a9b2e0673f62602f4ed9,217,13,69,135
Cobbs Garden Surgery,http://www.cobbsgardensurgery.gpsurgery.net,WCAG2AA,MK46 5QG,5d06a9b2e0673f62602f4eda,374,175,23,176
Priory Fields Partnership,http://www.prioryfields.co.uk,WCAG2AA,PE29 3RL,5d06a9b2e0673f62602f4edb,126,18,72,36
Spinneybrook Medical Cntr,http://www.spinneybrookmedcentre.co.uk/,WCAG2AA,NN9 5GA,5d06a9b2e0673f62602f4edc,304,15,96,193
Bourn Surgery,http://www.bournsurgery.nhs.uk/,WCAG2AA,CB23 2SH,5d06a9b2e0673f62602f4edd,219,58,18,143
Monkfield Medical Practice,http://www.monkfieldpractice.co.uk/,WCAG2AA,CB23 6HL,5d06a9b2e0673f62602f4ede,180,68,38,74
Alconbury & Brampton Surgeries,http://www.alconburybramptonsurgery.co.uk/,WCAG2AA,PE28 4EQ,5d06a9b2e0673f62602f4edf,228,6,92,130
Acorn Surgery,http://www.acornsurgery.com,WCAG2AA,PE29 7HN,5d06a9b2e0673f62602f4ee0,441,140,111,190
Abbey Medical Practice,http://www.abbeymedical.com,WCAG2AA,WR11 4BS,5d06a9b2e0673f62602f4ee1,280,13,127,140
Dr Hughes & Partners,http://www.bartongroupsurgeries.co.uk/,WCAG2AA,MK45 4TA,5d06a9b2e0673f62602f4ee2,398,28,158,212
Dr Coulson And Partners,http://www.albanyhousemedicalcentre.co.uk,WCAG2AA,NN8 4RW,5d06a9b2e0673f62602f4ee3,421,6,187,228
Brooklands Health Centre,http://www.brooklandshealthcentre.nhs.uk,WCAG2AA,MK10 7LN,5d06a9b2e0673f62602f4ee4,327,143,42,142
The Nevells Road Surgery,http://www.nevellsroadsurgery.co.uk,WCAG2AA,SG6 4TS,5d06a9b2e0673f62602f4ee5,505,34,217,254
The Garden City Surgery,http://www.gardencitysurgery.org.uk,WCAG2AA,SG6 3BJ,5d06a9b2e0673f62602f4ee6,3,3,0,0
Newport Pagnell Medical Centre,http://www.npmc.nhs.uk,WCAG2AA,MK16 8QT,5d06a9b2e0673f62602f4ee7,323,30,135,158
The Redwell Medical Centre,http://www.redwellmedicalcentre.co.uk,WCAG2AA,NN8 4UT,5d06a9b2e0673f62602f4ee8,157,15,41,101
Spring Lane Surgery,http://springlanesurgery.co.uk/,WCAG2AA,M26 2TQ,5d06a9b2e0673f62602f4ee9,159,48,35,76
The Meadows Surgery,http://www.themeadowssurgery.co.uk,WCAG2AA,TA19 9FE,5d06a9b2e0673f62602f4eea,259,16,125,118
Woodford Branch Surgery,http://www.spinneybrookmedcentre.co.uk/,WCAG2AA,NN14 4HY,5d06a9b2e0673f62602f4eeb,304,15,96,193
Kingfisher Surgery,http://www.kingfishersurgery.org.uk,WCAG2AA,MK16 0JR,5d06a9b2e0673f62602f4eec,310,135,42,133
Asplands Medical Centre,https://www.asplandsmedicalcentre.co.uk/,WCAG2AA,MK17 8QP,5d06a9b2e0673f62602f4eed,595,22,266,307
BALDOCK SURGERY,http://www.baldocksurgery.co.uk,WCAG2AA,SG7 6BP,5d06a9b2e0673f62602f4eee,519,23,236,260
Milton Keynes Village Surgery,http://www.mkvillagepractice.co.uk,WCAG2AA,MK10 9BQ,5d06a9b2e0673f62602f4eef,338,74,61,203
Denton Village Surgery,http://www.dentonvillagesurgery.nhs.uk,WCAG2AA,NN7 1HT,5d06a9b2e0673f62602f4ef0,377,170,16,191
Old Exchange Surgery,http://www.theoldexchangesurgery.co.uk,WCAG2AA,PE27 5PB,5d06a9b2e0673f62602f4ef1,244,105,21,118
Cromwell Place Surgery,http://www.cromwellplacesurgery.nhs.uk/,WCAG2AA,PE27 5JD,5d06a9b2e0673f62602f4ef2,376,167,16,193
Earls Barton Medical Centre,http://www.4mygp.info,WCAG2AA,NN6 0EU,5d06a9b2e0673f62602f4ef3,275,94,35,146
Regal Chambers Surgery,http://www.regalchambers.co.uk,WCAG2AA,SG5 1LL,5d06a9b2e0673f62602f4ef4,507,12,234,261
Bancroft Medical Centre - Courtenay House,https://bancroftmedicalcentre.co.uk,WCAG2AA,SG5 1LH,5d06a9b2e0673f62602f4ef5,502,22,226,254
Bancroft Medical Centre - Orford Lodge,https://bancroftmedicalcentre.co.uk/,WCAG2AA,SG5 1ND,5d06a9b2e0673f62602f4ef6,507,23,228,256
Spinney Surgery,http://www.spinney-surgery.org.uk,WCAG2AA,PE27 3TP,5d06a9b2e0673f62602f4ef7,756,265,71,420
Walnut Tree Health Centre,http://www.walnuttreehealthcentre.co.uk/,WCAG2AA,MK7 7PB,5d06a9b2e0673f62602f4ef8,246,9,108,129
Dr Spencer And Partners,http://www.burtonlatimermedicalcentre.co.uk/,WCAG2AA,NN15 5PU,5d06a9b2e0673f62602f4ef9,471,28,146,297
"Orchard Surgery, St Ives",http://www.orchardsurgery-stives.nhs.uk/,WCAG2AA,PE27 3ER,5d06a9b2e0673f62602f4efa,200,7,84,109
Neath Hill Health Centre,http://www.neathhillhealthcentre.co.uk,WCAG2AA,MK14 6JY,5d06a9b2e0673f62602f4efb,190,8,60,122
Swavesey Surgery,"http://www.swaveseysurgery.nhs.uk/welcome,47288.htm",WCAG2AA,CB24 4RA,5d06a9b2e0673f62602f4efc,717,257,57,403
Maple Surgery,http://www.mhmaple.co.uk,WCAG2AA,CB23 8EH,5d06a9b2e0673f62602f4efd,200,44,42,114
The Health Centre Practice,http://www.roystonhealthcentre.co.uk,WCAG2AA,SG8 7BS,5d06a9b2e0673f62602f4efe
"Granta Medical Practices, Market Hill Surgery",http://www.grantamedicalpractices.co.uk,WCAG2AA,SG8 9JN,5d06a9b2e0673f62602f4eff,184,52,31,101
Oakridge Park Medical Centre,http://www.oakridgeparkmedical.nhs.uk,WCAG2AA,MK14 6GL,5d06a9b2e0673f62602f4f00,508,100,292,116
Fishermead Medical Centre,https://www.fishermeadmedicalcentre.co.uk,WCAG2AA,MK6 2LR,5d06a9b2e0673f62602f4f01,512,62,328,122
Barton Hills Medical Group,http://www.bhmg.gpsurgery.net,WCAG2AA,LU3 4AD,5d06a9b2e0673f62602f4f02,419,176,36,207
Purbeck Health Centre,http://www.purbeckhealthcentre.co.uk,WCAG2AA,MK14 6BL,5d06a9b2e0673f62602f4f03,238,36,89,113
The Grove Surgery,http://www.thegrovesurgery-netherfield.co.uk/,WCAG2AA,MK6 4NG,5d06a9b2e0673f62602f4f04,271,13,135,123
Bramingham Park Medical Centre ,http://www.braminghamparkmedicalcentre.com,WCAG2AA,LU3 4BG,5d06a9b2e0673f62602f4f05,330,144,38,148
Gardenia & Marsh Farm Practice,http://www.gardeniasurgery.nhs.uk,WCAG2AA,LU3 3SR,5d06a9b2e0673f62602f4f06,654,11,306,337
Dr Cassidy And Partners,http://www.ashfieldmc.co.uk,WCAG2AA,MK6 4NE,5d06a9b2e0673f62602f4f07,219,41,57,121
Dr SP Hughes and Partners,http://www.bartongroupsurgeries.co.uk/,WCAG2AA,LU3 2LB,5d06a9b2e0673f62602f4f08,398,28,158,212
Orchard Surgery,http://www.orchardsurgery.co.uk,WCAG2AA,ST6 8HY,5d06a9b2e0673f62602f4f09,262,65,52,145
Sundon Medical Centre,http://www.sundonmedicalcentre.nhs.uk/,WCAG2AA,LU3 3AH,5d06a9b2e0673f62602f4f0a,625,8,299,318
Central Milton Keynes Medical Centre,http://www.cmkmc.co.uk/,WCAG2AA,MK13 8RN,5d06a9b2e0673f62602f4f0b,291,77,70,144
Over Surgery,http://www.oversurgery.nhs.uk,WCAG2AA,CB24 5NZ,5d06a9b2e0673f62602f4f0c,793,277,84,432
Dr Sajid Mehmood,http://www.nevilleroadsurgery.co.uk,WCAG2AA,LU3 2JG,5d06a9b2e0673f62602f4f0d,697,12,346,339
Hanslope Surgery,http://www.theparksmedicalpractice.co.uk,WCAG2AA,MK19 7LA,5d06a9b2e0673f62602f4f0e,224,60,43,121
Bedford Street Surgery,http://www.bedfordstreetsurgery.co.uk,WCAG2AA,MK2 2TX,5d06a9b2e0673f62602f4f0f,241,26,72,143
Dr Robinson And Partner,http://www.westfieldroadsurgery.co.uk/,WCAG2AA,MK2 2DJ,5d06a9b2e0673f62602f4f10,181,52,35,94
Stopsley Village Practice,http://www.stopsleyvillagepractice.co.uk/,WCAG2AA,LU2 9AU,5d06a9b2e0673f62602f4f11,680,13,323,344
Ise Village Medical Centre,http://www.lindenmedical.co.uk/,WCAG2AA,NN15 5FB,5d06a9b2e0673f62602f4f12,337,57,126,154
Mayfield Surgery,http://www.mayfieldsurgery.nhs.uk,WCAG2AA,ST3 4DW,5d06a9b2e0673f62602f4f13,141,24,25,92
Favell Plus Surgery,http://www.westonfavellsurgery.nhs.uk,WCAG2AA,NN3 8DW,5d06a9b2e0673f62602f4f14,226,15,88,123
Weston Favell Health Ctr,http://mollakesani.co.uk,WCAG2AA,NN3 8DW,5d06a9b2e0673f62602f4f15,2,2,0,0
Leagrave Surgery ,http://www.leagravesurgery.co.uk,WCAG2AA,LU4 9QZ,5d06a9b2e0673f62602f4f16,664,7,322,335
Moat House Surgery,http://www.themoathousesurgery.co.uk,WCAG2AA,RH1 3PN,5d06a9b2e0673f62602f4f17,213,51,53,109
Longstanton Branch Surgery,http://www.willinghammedicalpractice.nhs.uk,WCAG2AA,CB24 3EG,5d06a9b2e0673f62602f4f18,244,14,99,131
Wheatfield Surgery,http://www.wheatfieldsurgery.co.uk,WCAG2AA,LU4 0TR,5d06a9b2e0673f62602f4f19,236,63,43,130
Parkside Medical Centre,http://www.parksidemedical.org.uk/,WCAG2AA,M12 5RU,5d06a9b2e0673f62602f4f1a,563,31,242,290
Canterbury Way Surgery,http://www.canterburywaysurgery.co.uk/,WCAG2AA,SG1 4LQ,5d06a9b2e0673f62602f4f1b
Dr Jk Marsden's Practice,https://www.woodlandavenuepractice.nhs.uk/,WCAG2AA,LU3 1RW,5d06a9b2e0673f62602f4f1c,662,23,344,295
Woodview Medical Centre,http://www.woodviewmedicalcentre.co.uk,WCAG2AA,NN3 8AW,5d06a9b2e0673f62602f4f1d,280,64,85,131
Water Eaton Health Centre,http://www.watereatonhealthcentre.nhs.uk,WCAG2AA,MK2 3HN,5d06a9b2e0673f62602f4f1e,265,23,127,115
Larkside Practice,https://larksidepractice.co.uk/,WCAG2AA,LU2 9SB,5d06a9b2e0673f62602f4f1f,650,9,307,334
Linden Avenue Medical Centre,http://www.lindenmedical.co.uk/,WCAG2AA,NN15 7NX,5d06a9b2e0673f62602f4f20,337,57,126,154
Britannia House Surgery,http://www.drmirzaandpartners.co.uk,WCAG2AA,LU3 1RJ,5d06a9b2e0673f62602f4f21,685,6,329,350
Furzton Medical Centre,http://www.bedfordstreetsurgery.co.uk,WCAG2AA,MK4 1EW,5d06a9b2e0673f62602f4f22,243,26,72,145
Lister House Surgery,http://www.listerhouse.nhs.uk/,WCAG2AA,AL10 0NL,5d06a9b2e0673f62602f4f23,285,61,86,138
Girton Branch Surgery,http://www.huntingdonroadsurgery.co.uk/,WCAG2AA,CB3 0PA,5d06a9b2e0673f62602f4f24,279,29,134,116
Headlands Surgery,https://headlandssurgery.co.uk/,WCAG2AA,NN15 7HP,5d06a9b2e0673f62602f4f25
Kingsway Health Centre,http://www.kingswayhealthcentre.nhs.uk,WCAG2AA,LU4 8BY,5d06a9b2e0673f62602f4f26,304,130,39,135
Whaddon House Surgery,http://www.whaddonmedicalcentre.co.uk,WCAG2AA,MK3 7QU,5d06a9b2e0673f62602f4f27,446,135,170,141
Dr K Prasad's Practice,http://www.conwaymedicalcentre.nhs.uk,WCAG2AA,LU4 8JD,5d06a9b2e0673f62602f4f28,718,29,339,350
King George Surgery,http://www.kinggeorgesurgery.co.uk,WCAG2AA,SG1 3HT,5d06a9b2e0673f62602f4f29,881,282,104,495
King Edward Road Surgery,http://www.kers.org.uk/index.aspx,WCAG2AA,NN1 5LY,5d06a9b2e0673f62602f4f2a,487,15,327,145
Wenlock Surgery,https://www.wenlocksurgery.co.uk,WCAG2AA,LU2 0NN,5d06a9b2e0673f62602f4f2b
Bluntisham Branch Surgery,http://www.chirchstreethealthcentre-somersham.nhs.uk,WCAG2AA,PE28 3LR,5d06a9b2e0673f62602f4f2c
Abington Park Surgery,http://www.abingtonparksurgery.com,WCAG2AA,NN1 5LT,5d06a9b2e0673f62602f4f2d,240,14,81,145
Bell House Medical Centre,http://www.bellhousedoctor.co.uk,WCAG2AA,LU1 1BW,5d06a9b2e0673f62602f4f2e,106,36,23,47
Chells Surgery,http://www.chellssurgery.co.uk/,WCAG2AA,SG2 0HN,5d06a9b2e0673f62602f4f2f,235,11,84,140
Dryland Surgery,https://drylandsurgery.co.uk/,WCAG2AA,NN16 8JZ,5d06a9b2e0673f62602f4f30,144,47,38,59
Moulton Surgery,http://www.moultonsurgery.co.uk,WCAG2AA,NN1 5PH,5d06a9b2e0673f62602f4f31,374,63,119,192
Manor House Surgery,http://www.manorhouse-surgery.org.uk,WCAG2AA,SG2 7QX,5d06a9b2e0673f62602f4f32,335,118,90,127
Eskdaill Medical Centre,http://www.eskdaillmedical.co.uk,WCAG2AA,NN16 8DN,5d06a9b2e0673f62602f4f33,144,27,37,80
Weavers Medical,http://www.weaversmedical.co.uk,WCAG2AA,NN16 8DN,5d06a9b2e0673f62602f4f34,549,30,240,279
Bute House Medical Centre,http://www.butehousemedicalcentre.co.uk,WCAG2AA,LU1 1RW,5d06a9b2e0673f62602f4f35,724,30,336,358
Willingham Medical Practice,http://www.willinghammedicalpractice.nhs.uk,WCAG2AA,CB24 5LB,5d06a9b2e0673f62602f4f36,249,14,104,131
Park Avenue Medical Centre,http://www.parkavenuemedicalcentre.co.uk/,WCAG2AA,NN3 2HZ,5d06a9b2e0673f62602f4f37,287,121,37,129
"Granta Medical Practices, Barley Surgery",http://www.grantamedicalpractices.co.uk,WCAG2AA,SG8 8HY,5d06a9b2e0673f62602f4f38,184,52,31,101
Lakeside Healthcare,http://www.thelakesidesurgery.co.uk,WCAG2AA,NN17 2UR,5d06a9b2e0673f62602f4f39,251,49,46,156
Grange Park Surgery,http://www.theparksmedicalpractice.co.uk,WCAG2AA,NN4 5DW,5d06a9b2e0673f62602f4f3a,224,60,43,121
Dr Moore & Partners,http://www.woottonmedicalcentre.co.uk,WCAG2AA,NN4 6LW,5d06a9b2e0673f62602f4f3b,302,13,127,162
Lakeside Surgery,http://www.larwoodhealthpartnership.co.uk/,WCAG2AA,S81 9NW,5d06a9b2e0673f62602f4f3c,340,39,32,269
The Crescent Medical Centre,http://www.thecrescentmedicalcentre.nhs.uk,WCAG2AA,NN1 4SB,5d06a9b2e0673f62602f4f3d,208,15,64,129
Town Centre GP Surgery,https://www.towncentresurgeryluton.nhs.uk/index.aspx,WCAG2AA,LU1 2SE,5d06a9b2e0673f62602f4f3e,104,11,36,57
Westcroft Health Centre,http://www.westcrofthealthcentre.com,WCAG2AA,MK4 4EN,5d06a9b2e0673f62602f4f3f,465,17,314,134
Bedwell Medical Centre,http://www.bedwellandroebucksurgery.com/,WCAG2AA,SG1 1LQ,5d06a9b2e0673f62602f4f40,247,21,96,130
Newnham Walk Surgery,http://www.newnhamwalksurgery.nhs.uk/,WCAG2AA,CB3 9HS,5d06a9b2e0673f62602f4f41,222,10,95,117
Kingsbury Court Surgery,http://www.kingsburycourtsurgery.nhs.uk,WCAG2AA,LU5 4RS,5d06a9b2e0673f62602f4f42,231,21,111,99
Huntingdon Road Surgery,http://www.huntingdonroadsurgery.co.uk/,WCAG2AA,CB3 0DB,5d06a9b2e0673f62602f4f43,279,29,134,116
Church Street Health Centre,http://www.churchstreethealthcentre-somersham.nhs.uk,WCAG2AA,PE28 3EG,5d06a9b2e0673f62602f4f44,250,9,111,130
Castle Street Surgery,http://www.castlestreetsurgeryluton.co.uk/,WCAG2AA,LU1 3AG,5d06a9b2e0673f62602f4f45,221,31,79,111
Walkern Branch Surgery,http://www.kinggeorgesurgery.co.uk,WCAG2AA,SG2 7PG,5d06a9b2e0673f62602f4f46,803,259,82,462
Priory Gardens Surgery,https://www.priorygardenssurgery.co.uk,WCAG2AA,LU6 3SU,5d06a9b2e0673f62602f4f47,258,22,92,144
The Medici Medical Practice,http://www.medicipractice.co.uk,WCAG2AA,LU1 3UA,5d06a9b2e0673f62602f4f48,338,13,131,194
Earith Branch (Somersham),http://www.churchstreethealthcentre-somersham.nhs.uk,WCAG2AA,PE28 3PU,5d06a9b2e0673f62602f4f49,250,9,111,130
West Street Surgery,http://www.weststreetsurgery.org.uk/,WCAG2AA,LU6 1SF,5d06a9b2e0673f62602f4f4a,260,46,73,141
Dr T Crawford & Partners,http://www.greenviewsurgery.co.uk,WCAG2AA,NN2 7PB,5d06a9b2e0673f62602f4f4b,187,43,27,117
Trumpington Street Medical Practice,http://www.trumpingtonstreetmedicalpractice.co.uk/,WCAG2AA,CB2 1RG,5d06a9b2e0673f62602f4f4c,622,29,359,234
"Firs House Surgery, Firs House Partnership",http://www.firshouse.com,WCAG2AA,CB24 9NP,5d06a9b2e0673f62602f4f4d,336,41,171,124
Maple Access Partnership,http://www.mapleaccess.org.uk,WCAG2AA,NN1 1LG,5d06a9b2e0673f62602f4f4e,351,19,120,212
Stony Medical Centre,http://www.stonymedicalcentre.co.uk,WCAG2AA,MK11 1YA,5d06a9b2e0673f62602f4f4f,201,8,82,111
Bridge Street Medical Centre,http://www.bridgestreetmedicalcentre.com,WCAG2AA,CB2 3LS,5d06a9b2e0673f62602f4f50,111,18,14,79
Roade Surgery,http://www.theparksmedicalpractice.co.uk,WCAG2AA,NN7 2NN,5d06a9b2e0673f62602f4f51,226,59,46,121
Newnham Walk Surgery At Boots Cambridge,http://www.newnhamwalksurgery.nhs.uk/,WCAG2AA,CB2 3ND,5d06a9b2e0673f62602f4f52,222,10,95,117
Dr Jl Henderson & Partners,https://www.bassettroadsurgery.co.uk,WCAG2AA,LU7 1AR,5d06a9b2e0673f62602f4f53,463,29,187,247
Salisbury House Surgery,http://www.salisburyhousesurgery.co.uk,WCAG2AA,LU7 1RS,5d06a9b2e0673f62602f4f54,429,24,176,229
Ramsey Health Centre,http://www.ramseyhealthcentre.co.uk,WCAG2AA,PE26 1BP,5d06a9b2e0673f62602f4f55,367,58,93,216
Woodlands Surgery At Eden House,http://www.woodlandssurgery.co.uk,WCAG2AA,CB2 1LR,5d06a9b2e0673f62602f4f56,139,36,18,85
The Mounts Medical Centre,http://www.themountsmedicalcentre.nhs.uk/,WCAG2AA,NN1 3DS,5d06a9b2e0673f62602f4f57,195,14,77,104
Eleanor Cross Healthcare,https://www.eleanorcrosshealthcare.co.uk,WCAG2AA,NN4 8QF,5d06a9b2e0673f62602f4f58,525,14,264,247
Kingsthorpe Medical Centre,http://kingsthorpemedicalcentre.com/,WCAG2AA,NN2 7JN,5d06a9b2e0673f62602f4f59,82,25,2,55
Leighton Road Surgery,http://www.leightonroadsurgery.co.uk,WCAG2AA,LU7 1LB,5d06a9b2e0673f62602f4f5a,463,40,187,236
Langham Place Surgery,http://www.langhamplacesurgery.co.uk,WCAG2AA,NN2 6AA,5d06a9b2e0673f62602f4f5b,377,27,127,223
Leicester Terrace Health Care Centre,http://www.leicesterterrace.co.uk,WCAG2AA,NN2 6AL,5d06a9b2e0673f62602f4f5c,200,42,42,116
Rainbow Surgery,http://www.rainbowsurgery.co.uk,WCAG2AA,PE26 1SA,5d06a9b2e0673f62602f4f5d,298,106,33,159
Red House Surgery,http://www.redhousesurgery.nhs.uk/,WCAG2AA,CB4 1ER,5d06a9b2e0673f62602f4f5e,156,21,51,84
Arbury Road Surgery,http://www.arburyroadsurgery.nhs.uk,WCAG2AA,CB4 2JG,5d06a9b2e0673f62602f4f5f,169,49,22,98
The Petersfield Medical Practice,http://www.petersfieldmedicalpractice.co.uk,WCAG2AA,CB1 2AB,5d06a9b2e0673f62602f4f60
Queensview Medical Centre,http://https://www..queensviewmedicalcentre.co.uk,WCAG2AA,NN2 6LS,5d06a9b2e0673f62602f4f61,2,2,0,0
