"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Slaidburn Country Practice - Ho...</title>","html > head > title"
"WCAG2AAA.Principle3.Guideline3_3.3_3_1.G83,G84,G85","If an input error is automatically detected in this form, check that the item(s) in error are identified and the error(s) are described to the user in text.","notice","<form action=\"\" method=\"post\">\n\t\t\t\t\t<p>This site uses cookies...</form>","#cookieLawBox > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_2.G131,G89,G184,H90","Check that descriptive labels or instructions (including for required fields) are provided for user input in this form.","notice","<form action=\"\" method=\"post\">\n\t\t\t\t\t<p>This site uses cookies...</form>","#cookieLawBox > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_3.G177","Check that this form provides suggested corrections to errors in user input, unless it would jeopardize the security or purpose of the content.","notice","<form action=\"\" method=\"post\">\n\t\t\t\t\t<p>This site uses cookies...</form>","#cookieLawBox > form"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img src=\"/userfiles/image/logo.jpg\" alt=\"Slaidburn Country Practice\">","#headerTable > tbody > tr > td:nth-child(1) > div > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"/userfiles/image/logo.jpg\" alt=\"Slaidburn Country Practice\">","#headerTable > tbody > tr > td:nth-child(1) > div > img"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.B","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","warning","<b><font size=\"30px\">\n\t\t\t\t\t       ...</b>","#headerTable > tbody > tr > td:nth-child(2) > div > b"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.Font","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","warning","<font size=\"30px\">\n\t\t\t\t\t                         ...</font>","#headerTable > tbody > tr > td:nth-child(2) > div > b > font"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G18.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 4.5:1.","warning","<font size=\"30px\">\n\t\t\t\t\t                         ...</font>","#headerTable > tbody > tr > td:nth-child(2) > div > b > font"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.nhs.uk\" target=\"_blank\"><img src=\"templates/default/ima...</a>","#imgNhs > a"
"WCAG2AAA.Principle3.Guideline3_2.3_2_5.H83.3","Check that this link's link text contains information indicating that the link will open in a new window.","warning","<a href=\"http://www.nhs.uk\" target=\"_blank\"><img src=\"templates/default/ima...</a>","#imgNhs > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img src=\"templates/default/images/carreers.gif\" alt=\"national health service\">","#imgNhs > a > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"templates/default/images/carreers.gif\" alt=\"national health service\">","#imgNhs > a > img"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a title=\"Home\" href=\"home,28540.htm\">Home </a>","#menu-top > ul > li:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Home\" href=\"home,28540.htm\">Home </a>","#menu-top > ul > li:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a title=\"Welcome\" href=\"welcome,28548.htm\">Welcome </a>","#menu-top > ul > li:nth-child(2) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Welcome\" href=\"welcome,28548.htm\">Welcome </a>","#menu-top > ul > li:nth-child(2) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a title=\"Our Team\" href=\"our-team,28550.htm\">Our Team </a>","#menu-top > ul > li:nth-child(3) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Our Team\" href=\"our-team,28550.htm\">Our Team </a>","#menu-top > ul > li:nth-child(3) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a title=\"Opening Hours\" href=\"opening-hours,28527.htm\">Opening Hours </a>","#menu-top > ul > li:nth-child(4) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Opening Hours\" href=\"opening-hours,28527.htm\">Opening Hours </a>","#menu-top > ul > li:nth-child(4) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a title=\"Contact Us\" href=\"contact-us,28533.htm\">Contact Us </a>","#menu-top > ul > li:nth-child(5) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Contact Us\" href=\"contact-us,28533.htm\">Contact Us </a>","#menu-top > ul > li:nth-child(5) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a title=\"News\" href=\"news,28525.htm\">News </a>","#menu-top > ul > li:nth-child(6) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"News\" href=\"news,28525.htm\">News </a>","#menu-top > ul > li:nth-child(6) > a"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table>\n            <tbody><tr>\n      ...</table>","#middle > table"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a title=\"CQC\" href=\"sos-campaign,58505.htm\" class=\"\">CQC</a>","#side-bar1 > div > ul > li:nth-child(1) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"CQC\" href=\"sos-campaign,58505.htm\" class=\"\">CQC</a>","#side-bar1 > div > ul > li:nth-child(1) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a title=\"PRACTICE SERVICES\" href=\"appointments,28549.htm\" class=\"\">PRACTICE SERVICES</a>","#side-bar1 > div > ul > li:nth-child(2) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"PRACTICE SERVICES\" href=\"appointments,28549.htm\" class=\"\">PRACTICE SERVICES</a>","#side-bar1 > div > ul > li:nth-child(2) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a title=\"PATIENT ONLINE ACCESS\" href=\"emis-access,28536.htm\" class=\"\">PATIENT ONLINE ACCESS</a>","#side-bar1 > div > ul > li:nth-child(3) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"PATIENT ONLINE ACCESS\" href=\"emis-access,28536.htm\" class=\"\">PATIENT ONLINE ACCESS</a>","#side-bar1 > div > ul > li:nth-child(3) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a title=\"FRIENDS AND FAMILY\" href=\"swine-flu,28865.htm\" class=\"\">FRIENDS AND FAMILY</a>","#side-bar1 > div > ul > li:nth-child(4) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"FRIENDS AND FAMILY\" href=\"swine-flu,28865.htm\" class=\"\">FRIENDS AND FAMILY</a>","#side-bar1 > div > ul > li:nth-child(4) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a title=\"PRESCRIPTIONS\" href=\"prescriptions,28561.htm\" class=\"\">PRESCRIPTIONS</a>","#side-bar1 > div > ul > li:nth-child(5) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"PRESCRIPTIONS\" href=\"prescriptions,28561.htm\" class=\"\">PRESCRIPTIONS</a>","#side-bar1 > div > ul > li:nth-child(5) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a title=\"PRACTICE NURSE\" href=\"practice-nurse,28868.htm\" class=\"\">PRACTICE NURSE</a>","#side-bar1 > div > ul > li:nth-child(6) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"PRACTICE NURSE\" href=\"practice-nurse,28868.htm\" class=\"\">PRACTICE NURSE</a>","#side-bar1 > div > ul > li:nth-child(6) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a title=\"HEALTH VISITORS\" href=\"health-visitors,42730.htm\" class=\"\">HEALTH VISITORS</a>","#side-bar1 > div > ul > li:nth-child(7) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"HEALTH VISITORS\" href=\"health-visitors,42730.htm\" class=\"\">HEALTH VISITORS</a>","#side-bar1 > div > ul > li:nth-child(7) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a title=\"CHILDHOOD IMMUNISATIONS\" href=\"childhood-immunisations,28773.htm\" class=\"\">CHILDHOOD IMMUNISATIONS</a>","#side-bar1 > div > ul > li:nth-child(8) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"CHILDHOOD IMMUNISATIONS\" href=\"childhood-immunisations,28773.htm\" class=\"\">CHILDHOOD IMMUNISATIONS</a>","#side-bar1 > div > ul > li:nth-child(8) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a title=\"TRAVEL IMMUNISATIONS\" href=\"travel-immunisations,28867.htm\" class=\"\">TRAVEL IMMUNISATIONS</a>","#side-bar1 > div > ul > li:nth-child(9) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"TRAVEL IMMUNISATIONS\" href=\"travel-immunisations,28867.htm\" class=\"\">TRAVEL IMMUNISATIONS</a>","#side-bar1 > div > ul > li:nth-child(9) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a title=\"WOMEN'S HEALTH\" href=\"womens-health,28553.htm\" class=\"\">WOMEN'S HEALTH</a>","#side-bar1 > div > ul > li:nth-child(10) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"WOMEN'S HEALTH\" href=\"womens-health,28553.htm\" class=\"\">WOMEN'S HEALTH</a>","#side-bar1 > div > ul > li:nth-child(10) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a title=\"HEALTH CHECKS AND APPOINTMENTS ...\" href=\"health-check-,37682.htm\" class=\"\">HEALTH CHECKS AND APPOINTMENTS FOR THE OVER 75s </a>","#side-bar1 > div > ul > li:nth-child(11) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"HEALTH CHECKS AND APPOINTMENTS ...\" href=\"health-check-,37682.htm\" class=\"\">HEALTH CHECKS AND APPOINTMENTS FOR THE OVER 75s </a>","#side-bar1 > div > ul > li:nth-child(11) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a title=\"HOSPITAL CARE\" href=\"specialist-and-hospital-care,28558.htm\" class=\"\">HOSPITAL CARE</a>","#side-bar1 > div > ul > li:nth-child(12) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"HOSPITAL CARE\" href=\"specialist-and-hospital-care,28558.htm\" class=\"\">HOSPITAL CARE</a>","#side-bar1 > div > ul > li:nth-child(12) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a title=\"INFORMATION SHARING\" href=\"hodder-valley-day-club,29874.htm\" class=\"\">INFORMATION SHARING</a>","#side-bar1 > div > ul > li:nth-child(13) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"INFORMATION SHARING\" href=\"hodder-valley-day-club,29874.htm\" class=\"\">INFORMATION SHARING</a>","#side-bar1 > div > ul > li:nth-child(13) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a title=\"CARER SUPPORT\" href=\"carer-support,29917.htm\" class=\"\">CARER SUPPORT</a>","#side-bar1 > div > ul > li:nth-child(14) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"CARER SUPPORT\" href=\"carer-support,29917.htm\" class=\"\">CARER SUPPORT</a>","#side-bar1 > div > ul > li:nth-child(14) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a title=\"ACCIDENT &amp; EMERGENCY/999\" href=\"accident-and-emergency-999,28552.htm\" class=\"\">ACCIDENT &amp; EMERGENCY/999</a>","#side-bar1 > div > ul > li:nth-child(15) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"ACCIDENT &amp; EMERGENCY/999\" href=\"accident-and-emergency-999,28552.htm\" class=\"\">ACCIDENT &amp; EMERGENCY/999</a>","#side-bar1 > div > ul > li:nth-child(15) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a title=\"COMMENTS AND COMPLAINTS\" href=\"comments-and-complaints,28535.htm\" class=\"\">COMMENTS AND COMPLAINTS</a>","#side-bar1 > div > ul > li:nth-child(16) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"COMMENTS AND COMPLAINTS\" href=\"comments-and-complaints,28535.htm\" class=\"\">COMMENTS AND COMPLAINTS</a>","#side-bar1 > div > ul > li:nth-child(16) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a title=\"SLAIDBURN NEWS\" href=\"previous-newsletters,41571.htm\" class=\"\">SLAIDBURN NEWS</a>","#side-bar1 > div > ul > li:nth-child(17) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"SLAIDBURN NEWS\" href=\"previous-newsletters,41571.htm\" class=\"\">SLAIDBURN NEWS</a>","#side-bar1 > div > ul > li:nth-child(17) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a title=\"PATIENT PARTICIPATION GROUP\" href=\"friends-of-slaidburn-country-practice,28541.htm\" class=\"\">PATIENT PARTICIPATION GROUP</a>","#side-bar1 > div > ul > li:nth-child(18) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"PATIENT PARTICIPATION GROUP\" href=\"friends-of-slaidburn-country-practice,28541.htm\" class=\"\">PATIENT PARTICIPATION GROUP</a>","#side-bar1 > div > ul > li:nth-child(18) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a title=\"YOUR LOCAL CCG\" href=\"your-local-pct,28544.htm\" class=\"\">YOUR LOCAL CCG</a>","#side-bar1 > div > ul > li:nth-child(19) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"YOUR LOCAL CCG\" href=\"your-local-pct,28544.htm\" class=\"\">YOUR LOCAL CCG</a>","#side-bar1 > div > ul > li:nth-child(19) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a title=\"SELF HELP\" href=\"other-local-nhs-services,28559.htm\" class=\"\">SELF HELP</a>","#side-bar1 > div > ul > li:nth-child(20) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"SELF HELP\" href=\"other-local-nhs-services,28559.htm\" class=\"\">SELF HELP</a>","#side-bar1 > div > ul > li:nth-child(20) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a title=\"OUT OF HOURS SERVICE 111\" href=\"nhs-direct,28551.htm\" class=\"\">OUT OF HOURS SERVICE 111</a>","#side-bar1 > div > ul > li:nth-child(21) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"OUT OF HOURS SERVICE 111\" href=\"nhs-direct,28551.htm\" class=\"\">OUT OF HOURS SERVICE 111</a>","#side-bar1 > div > ul > li:nth-child(21) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a title=\"HEALTH INFORMATION WEBSITES\" href=\"health-information-websites,28532.htm\" class=\"\">HEALTH INFORMATION WEBSITES</a>","#side-bar1 > div > ul > li:nth-child(22) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"HEALTH INFORMATION WEBSITES\" href=\"health-information-websites,28532.htm\" class=\"\">HEALTH INFORMATION WEBSITES</a>","#side-bar1 > div > ul > li:nth-child(22) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a title=\"ENCYCLOPEDIA\" href=\"encyclopedia,28537.htm\" class=\"\">ENCYCLOPEDIA</a>","#side-bar1 > div > ul > li:nth-child(23) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"ENCYCLOPEDIA\" href=\"encyclopedia,28537.htm\" class=\"\">ENCYCLOPEDIA</a>","#side-bar1 > div > ul > li:nth-child(23) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<td id=\"contener_td\" valign=\"top\" style=\"width:560px;background-color:#ffffff;\">\n        \n        \n        \n\t\t\n...</td>","#contener_td"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 2.2:1. Recommendation: change text colour to #001015.","error","<strong>Diabetes Awareness - www.diabet...</strong>","#newsticker > marquee > strong"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input type=\"hidden\" id=\"contentID\" value=\"28540\">","#contentID"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table style=\"width: 394px; height: 227px; margin-right: auto; margin-left: auto;\" border=\"0\">\n<tbody>\n<tr>\n<td style=\"text-a...</table>","#content > table"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H42","Heading markup should be used if this content is intended as a heading.","warning","<p><strong><span style=\"color: #5b...</p>","#content > table > tbody > tr > td > p:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.FGColour","Check that this element has an inherited background colour or image to complement the corresponding inline foreground colour.","warning","<span style=\"color: #5b5aa5; text-decoration: underline;\"><span style=\"font-family: verda...</span>","#content > table > tbody > tr > td > p:nth-child(1) > strong > span"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 6.09:1. Recommendation: change text colour to #51509b.","error","<span style=\"font-size: medium;\">Slaidburn Country Practice</span>","#content > table > tbody > tr > td > p:nth-child(1) > strong > span > span > span"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.FGColour","Check that this element has an inherited background colour or image to complement the corresponding inline foreground colour.","warning","<span style=\"color: #5b5aa5; font-family: verdana,geneva; font-size: small;\">\n<p>Monday - 08:00-17:00</p>\n</span>","#content > table > tbody > tr > td > strong > span"
