"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 5.74:1. Recommendation: change text colour to #595959.","error","<td class=\"ThemeMenuBar4MainItemText\">Appointments</td>","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(2) > table > tbody > tr > td:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table class=\"ThemeMenuBar4Menu\" cellspacing=\"0\" cellpadding=\"0\" border=\"0\"><tbody><tr class=\"ThemeMenuBar4...</table>","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(3) > table"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOver","Ensure the functionality provided by mousing over this element is available through the keyboard; for instance, using the focus event.","warning","<tr class=\"ThemeMenuBar4MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,0,2)\" onmousedown=\"cmItemMouseDown (this,1,null,0,2)\" onmouseout=\"cmItemMouseOut (this,1,null,0,2)\" onmouseup=\"cmItemMouseUp (this,1,null,0,2)\"><td class=\"ThemeMenuBar...","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(3) > table > tbody > tr"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOut","Ensure the functionality provided by mousing out of this element is available through the keyboard; for instance, using the blur event.","warning","<tr class=\"ThemeMenuBar4MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,0,2)\" onmousedown=\"cmItemMouseDown (this,1,null,0,2)\" onmouseout=\"cmItemMouseOut (this,1,null,0,2)\" onmouseup=\"cmItemMouseUp (this,1,null,0,2)\"><td class=\"ThemeMenuBar...","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(3) > table > tbody > tr"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseDown","Ensure the functionality provided by mousing down on this element is available through the keyboard; for instance, using the keydown event.","warning","<tr class=\"ThemeMenuBar4MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,0,2)\" onmousedown=\"cmItemMouseDown (this,1,null,0,2)\" onmouseout=\"cmItemMouseOut (this,1,null,0,2)\" onmouseup=\"cmItemMouseUp (this,1,null,0,2)\"><td class=\"ThemeMenuBar...","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(3) > table > tbody > tr"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseUp","Ensure the functionality provided by mousing up on this element is available through the keyboard; for instance, using the keyup event.","warning","<tr class=\"ThemeMenuBar4MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,0,2)\" onmousedown=\"cmItemMouseDown (this,1,null,0,2)\" onmouseout=\"cmItemMouseOut (this,1,null,0,2)\" onmouseup=\"cmItemMouseUp (this,1,null,0,2)\"><td class=\"ThemeMenuBar...","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(3) > table > tbody > tr"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 5.74:1. Recommendation: change text colour to #595959.","error","<td class=\"ThemeMenuBar4MainItemText\">Carers</td>","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(3) > table > tbody > tr > td:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table class=\"ThemeMenuBar4Menu\" cellspacing=\"0\" cellpadding=\"0\" border=\"0\"><tbody><tr class=\"ThemeMenuBar4...</table>","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(4) > table"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOver","Ensure the functionality provided by mousing over this element is available through the keyboard; for instance, using the focus event.","warning","<tr class=\"ThemeMenuBar4MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,0,3)\" onmousedown=\"cmItemMouseDown (this,1,null,0,3)\" onmouseout=\"cmItemMouseOut (this,1,null,0,3)\" onmouseup=\"cmItemMouseUp (this,1,null,0,3)\"><td class=\"ThemeMenuBar...","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(4) > table > tbody > tr"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOut","Ensure the functionality provided by mousing out of this element is available through the keyboard; for instance, using the blur event.","warning","<tr class=\"ThemeMenuBar4MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,0,3)\" onmousedown=\"cmItemMouseDown (this,1,null,0,3)\" onmouseout=\"cmItemMouseOut (this,1,null,0,3)\" onmouseup=\"cmItemMouseUp (this,1,null,0,3)\"><td class=\"ThemeMenuBar...","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(4) > table > tbody > tr"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseDown","Ensure the functionality provided by mousing down on this element is available through the keyboard; for instance, using the keydown event.","warning","<tr class=\"ThemeMenuBar4MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,0,3)\" onmousedown=\"cmItemMouseDown (this,1,null,0,3)\" onmouseout=\"cmItemMouseOut (this,1,null,0,3)\" onmouseup=\"cmItemMouseUp (this,1,null,0,3)\"><td class=\"ThemeMenuBar...","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(4) > table > tbody > tr"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseUp","Ensure the functionality provided by mousing up on this element is available through the keyboard; for instance, using the keyup event.","warning","<tr class=\"ThemeMenuBar4MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,0,3)\" onmousedown=\"cmItemMouseDown (this,1,null,0,3)\" onmouseout=\"cmItemMouseOut (this,1,null,0,3)\" onmouseup=\"cmItemMouseUp (this,1,null,0,3)\"><td class=\"ThemeMenuBar...","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(4) > table > tbody > tr"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 5.74:1. Recommendation: change text colour to #595959.","error","<td class=\"ThemeMenuBar4MainItemText\">Emergencies</td>","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(4) > table > tbody > tr > td:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table class=\"ThemeMenuBar4Menu\" cellspacing=\"0\" cellpadding=\"0\" border=\"0\"><tbody><tr class=\"ThemeMenuBar4...</table>","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(5) > table"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOver","Ensure the functionality provided by mousing over this element is available through the keyboard; for instance, using the focus event.","warning","<tr class=\"ThemeMenuBar4MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,0,4)\" onmousedown=\"cmItemMouseDown (this,1,null,0,4)\" onmouseout=\"cmItemMouseOut (this,1,null,0,4)\" onmouseup=\"cmItemMouseUp (this,1,null,0,4)\"><td class=\"ThemeMenuBar...","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(5) > table > tbody > tr"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOut","Ensure the functionality provided by mousing out of this element is available through the keyboard; for instance, using the blur event.","warning","<tr class=\"ThemeMenuBar4MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,0,4)\" onmousedown=\"cmItemMouseDown (this,1,null,0,4)\" onmouseout=\"cmItemMouseOut (this,1,null,0,4)\" onmouseup=\"cmItemMouseUp (this,1,null,0,4)\"><td class=\"ThemeMenuBar...","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(5) > table > tbody > tr"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseDown","Ensure the functionality provided by mousing down on this element is available through the keyboard; for instance, using the keydown event.","warning","<tr class=\"ThemeMenuBar4MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,0,4)\" onmousedown=\"cmItemMouseDown (this,1,null,0,4)\" onmouseout=\"cmItemMouseOut (this,1,null,0,4)\" onmouseup=\"cmItemMouseUp (this,1,null,0,4)\"><td class=\"ThemeMenuBar...","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(5) > table > tbody > tr"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseUp","Ensure the functionality provided by mousing up on this element is available through the keyboard; for instance, using the keyup event.","warning","<tr class=\"ThemeMenuBar4MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,0,4)\" onmousedown=\"cmItemMouseDown (this,1,null,0,4)\" onmouseout=\"cmItemMouseOut (this,1,null,0,4)\" onmouseup=\"cmItemMouseUp (this,1,null,0,4)\"><td class=\"ThemeMenuBar...","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(5) > table > tbody > tr"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 5.74:1. Recommendation: change text colour to #595959.","error","<td class=\"ThemeMenuBar4MainItemText\">Feedback</td>","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(5) > table > tbody > tr > td:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table class=\"ThemeMenuBar4Menu\" cellspacing=\"0\" cellpadding=\"0\" border=\"0\"><tbody><tr class=\"ThemeMenuBar4...</table>","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(6) > table"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOver","Ensure the functionality provided by mousing over this element is available through the keyboard; for instance, using the focus event.","warning","<tr class=\"ThemeMenuBar4MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,0,5)\" onmousedown=\"cmItemMouseDown (this,1,null,0,5)\" onmouseout=\"cmItemMouseOut (this,1,null,0,5)\" onmouseup=\"cmItemMouseUp (this,1,null,0,5)\"><td class=\"ThemeMenuBar...","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(6) > table > tbody > tr"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOut","Ensure the functionality provided by mousing out of this element is available through the keyboard; for instance, using the blur event.","warning","<tr class=\"ThemeMenuBar4MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,0,5)\" onmousedown=\"cmItemMouseDown (this,1,null,0,5)\" onmouseout=\"cmItemMouseOut (this,1,null,0,5)\" onmouseup=\"cmItemMouseUp (this,1,null,0,5)\"><td class=\"ThemeMenuBar...","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(6) > table > tbody > tr"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseDown","Ensure the functionality provided by mousing down on this element is available through the keyboard; for instance, using the keydown event.","warning","<tr class=\"ThemeMenuBar4MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,0,5)\" onmousedown=\"cmItemMouseDown (this,1,null,0,5)\" onmouseout=\"cmItemMouseOut (this,1,null,0,5)\" onmouseup=\"cmItemMouseUp (this,1,null,0,5)\"><td class=\"ThemeMenuBar...","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(6) > table > tbody > tr"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseUp","Ensure the functionality provided by mousing up on this element is available through the keyboard; for instance, using the keyup event.","warning","<tr class=\"ThemeMenuBar4MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,0,5)\" onmousedown=\"cmItemMouseDown (this,1,null,0,5)\" onmouseout=\"cmItemMouseOut (this,1,null,0,5)\" onmouseup=\"cmItemMouseUp (this,1,null,0,5)\"><td class=\"ThemeMenuBar...","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(6) > table > tbody > tr"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 5.74:1. Recommendation: change text colour to #595959.","error","<td class=\"ThemeMenuBar4MainItemText\">Find&nbsp;Us</td>","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(6) > table > tbody > tr > td:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table class=\"ThemeMenuBar4Menu\" cellspacing=\"0\" cellpadding=\"0\" border=\"0\"><tbody><tr class=\"ThemeMenuBar4...</table>","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(7) > table"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOver","Ensure the functionality provided by mousing over this element is available through the keyboard; for instance, using the focus event.","warning","<tr class=\"ThemeMenuBar4MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,0,6)\" onmousedown=\"cmItemMouseDown (this,1,null,0,6)\" onmouseout=\"cmItemMouseOut (this,1,null,0,6)\" onmouseup=\"cmItemMouseUp (this,1,null,0,6)\"><td class=\"ThemeMenuBar...","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(7) > table > tbody > tr"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOut","Ensure the functionality provided by mousing out of this element is available through the keyboard; for instance, using the blur event.","warning","<tr class=\"ThemeMenuBar4MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,0,6)\" onmousedown=\"cmItemMouseDown (this,1,null,0,6)\" onmouseout=\"cmItemMouseOut (this,1,null,0,6)\" onmouseup=\"cmItemMouseUp (this,1,null,0,6)\"><td class=\"ThemeMenuBar...","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(7) > table > tbody > tr"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseDown","Ensure the functionality provided by mousing down on this element is available through the keyboard; for instance, using the keydown event.","warning","<tr class=\"ThemeMenuBar4MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,0,6)\" onmousedown=\"cmItemMouseDown (this,1,null,0,6)\" onmouseout=\"cmItemMouseOut (this,1,null,0,6)\" onmouseup=\"cmItemMouseUp (this,1,null,0,6)\"><td class=\"ThemeMenuBar...","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(7) > table > tbody > tr"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseUp","Ensure the functionality provided by mousing up on this element is available through the keyboard; for instance, using the keyup event.","warning","<tr class=\"ThemeMenuBar4MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,0,6)\" onmousedown=\"cmItemMouseDown (this,1,null,0,6)\" onmouseout=\"cmItemMouseOut (this,1,null,0,6)\" onmouseup=\"cmItemMouseUp (this,1,null,0,6)\"><td class=\"ThemeMenuBar...","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(7) > table > tbody > tr"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 5.74:1. Recommendation: change text colour to #595959.","error","<td class=\"ThemeMenuBar4MainItemText\">Health&nbsp;Channel</td>","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(7) > table > tbody > tr > td:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table class=\"ThemeMenuBar4Menu\" cellspacing=\"0\" cellpadding=\"0\" border=\"0\"><tbody><tr class=\"ThemeMenuBar4...</table>","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(8) > table"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOver","Ensure the functionality provided by mousing over this element is available through the keyboard; for instance, using the focus event.","warning","<tr class=\"ThemeMenuBar4MainItem\" onmouseover=\"cmItemMouseOverOpenSub (this,1,null,0,7)\" onmousedown=\"cmItemMouseDown (this,1,null,0,7)\" onmouseout=\"cmItemMouseOut (this,1,null,0,7)\" onmouseup=\"cmItemMouseUp (this,1,null,0,7)\"><td class=\"ThemeMenuBar...","#MenuIDMenuBar4 > table > tbody > tr > td:nth-child(8) > table > tbody > tr"
